,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,positivityRate,datetime
12,20200912,GU,1891.0,41472.0,,50.0,,11.0,,,,1118.0,A+,9/12/2020 07:30,2020-09-12T07:30:00Z,09/12 03:30,25.0,,2020-09-12T07:30:00Z,43011.0,,,1891.0,,,,43363.0,158.0,2.0,,,,,,,,,66,28,322,43363,posNeg,43363.0,350,43363,2,0,5f2260a018f132ffbca5a0dc830aa23235e195cd,0,0,0,0,0,,0.04360860641560778,2020-09-12
13,20200912,HI,10459.0,239580.0,,220.0,622.0,51.0,,41.0,,3334.0,C,9/11/2020 18:00,2020-09-11T18:00:00Z,09/11 14:00,96.0,622.0,2020-09-11T18:00:00Z,334756.0,,,,,,,250039.0,,,,,,,,,,,15,167,3389,250039,posNeg,250039.0,3556,250039,2,12,11703774c0e6eaa40ebaf08f66ff18d10ba22a5e,0,0,0,0,0,,0.0418294746019621,2020-09-12
14,20200912,IA,71706.0,607184.0,,290.0,,90.0,,35.0,,52953.0,A+,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,1217.0,,2020-09-12T00:00:00Z,,,,71706.0,,,,680421.0,,,,52915.0,3188.0,49687.0,16279.0,1991.0,,,19,573,4720,678890,posNeg,678890.0,5293,678890,6,0,eed0ebeb436bf23ebd984241eba95d36a9155a61,0,0,0,0,0,,0.1056224130566071,2020-09-12
15,20200912,ID,34950.0,240660.0,,165.0,1569.0,46.0,412.0,,,18052.0,A+,9/11/2020 19:00,2020-09-11T19:00:00Z,09/11 15:00,412.0,1569.0,2020-09-11T19:00:00Z,272888.0,,,32228.0,375.0,37.0,,,,,,,,,,,,,16,333,1461,275610,posNeg,275610.0,1794,275610,5,18,7729de0db1820c09509b4917d34aa57a2a3fa21e,0,0,0,0,0,,0.12680962229236964,2020-09-12
16,20200912,IL,262004.0,4429067.0,,1509.0,,344.0,,170.0,,,A,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,8527.0,,2020-09-12T00:00:00Z,4688976.0,,,259909.0,8295.0,232.0,,,,,,,,,,,,,17,2121,54473,4691071,posNeg,4691071.0,56594,4691071,22,0,bd634d3d1c5fc18bbe42b547082075acc74dbd1f,0,0,0,0,0,,0.055851638144040025,2020-09-12
17,20200912,IN,104561.0,1102419.0,,807.0,11710.0,234.0,2327.0,70.0,,81089.0,A+,9/11/2020 23:59,2020-09-11T23:59:00Z,09/11 19:59,3437.0,11710.0,2020-09-11T23:59:00Z,1666889.0,,,,3213.0,224.0,,1206980.0,,,,,,,,,,,18,1056,22820,1206980,posNeg,1206980.0,23876,1206980,17,59,dee45ad9fc39d28edcbbfea55a2668f905678d66,0,0,0,0,0,,0.08663026727866245,2020-09-12
18,20200912,KS,48386.0,400544.0,,140.0,2537.0,40.0,690.0,10.0,219.0,1859.0,A+,9/11/2020 10:00,2020-09-11T10:00:00Z,09/11 06:00,511.0,2537.0,2020-09-11T10:00:00Z,,,,,,,,448930.0,,,,,,,,,,,20,0,0,448930,posNeg,448930.0,0,448930,0,0,35d7ce6cf7bf9d30d0feb2960da36d3140ea08ae,0,0,0,0,0,,0.10778072305259172,2020-09-12
19,20200912,KY,56415.0,873807.0,,587.0,4886.0,148.0,1454.0,,,10872.0,B,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,1057.0,4886.0,2020-09-12T00:00:00Z,924342.0,,,50535.0,1048.0,9.0,,,49234.0,,,,,,,,17381.0,,21,711,28821,930222,posNeg,930222.0,29532,930222,13,24,9c0ba8ab68cbc20aab6cd692641d737381b7ef3d,0,0,0,0,0,,0.06064681334133142,2020-09-12
20,20200912,LA,157109.0,1880644.0,,723.0,,,,117.0,,140440.0,A,9/11/2020 13:00,2020-09-11T13:00:00Z,09/11 09:00,5202.0,,2020-09-11T13:00:00Z,,,,156174.0,5032.0,170.0,,2036818.0,,,,,,,,,,,22,0,0,2037753,posNeg,2037753.0,0,2037753,0,0,3add26a8e3d061aad50f1595e2ed87b3bb0def9a,0,0,0,0,0,,0.0770991381192912,2020-09-12
21,20200912,MA,124540.0,1821294.0,,331.0,12426.0,64.0,,25.0,,107501.0,A+,9/12/2020 08:00,2020-09-12T08:00:00Z,09/12 04:00,9196.0,12426.0,2020-09-12T08:00:00Z,2968723.0,161336.0,,122637.0,8987.0,209.0,,1943931.0,,,,116242.0,,,106383.0,,,,25,554,17878,1945834,totalTestsViral,2968723.0,63370,1945834,16,15,70a7d0f600dcb36cc11c5613a630cfbe4f08bba5,0,0,0,0,0,,0.041950697320026153,2020-09-12
